Country,Continent,Region,DevName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Total
India,Asia,Southern Asia,Developing regions,28572,31223,31889,27155,28235,36210,33848,28742,28261,29456,34235,27509,30933,33087,429355
Indonesia,Asia,South-Eastern Asia,Developing regions,1138,907,709,515,552,632,613,657,661,504,712,390,395,387,8772
Iran (Islamic Republic of),Asia,Southern Asia,Developing regions,5884,6169,8129,5918,6348,5837,7480,6974,6475,6580,7477,7479,7534,11291,99575
Iraq,Asia,Western Asia,Developing regions,2591,2821,2432,1515,1796,2226,1788,2406,3543,5450,5941,6196,4041,4918,47664
Ireland,Europe,Northern Europe,Developed regions,178,190,178,192,244,224,283,300,412,395,547,525,725,1015,5408
Israel,Asia,Western Asia,Developing regions,2510,2436,2539,2314,2788,2446,2625,2401,2562,2316,2755,1970,2134,1945,33741
Italy,Europe,Southern Europe,Developed regions,383,410,374,321,334,344,325,320,370,429,434,374,440,545,5403
Jamaica,Latin America and the Caribbean,Caribbean,Developing regions,2482,2838,2524,2054,2237,1945,1722,2141,2334,2456,2321,2059,2182,2479,31774
Japan,Asia,Eastern Asia,Developed regions,1010,1092,806,817,973,1067,1212,1250,1284,1194,1168,1265,1214,982,15334
Jordan,Asia,Western Asia,Developing regions,1511,1904,1499,1614,1733,1940,1827,1421,1581,1235,1831,1635,1206,1255,22192
Kazakhstan,Asia,Central Asia,Developing regions,450,501,418,542,545,506,408,436,394,431,377,381,462,348,6199
Kenya,Africa,Eastern Africa,Developing regions,495,651,630,678,685,693,622,449,453,489,507,585,725,664,8326
Kiribati,Oceania,Micronesia,Developing regions,1,1,0,0,0,1,0,0,1,1,0,0,2,0,7
Kuwait,Asia,Western Asia,Developing regions,114,107,74,72,74,66,35,62,53,68,67,58,73,48,971
Kyrgyzstan,Asia,Central Asia,Developing regions,56,95,124,99,245,173,161,135,168,173,157,159,278,123,2146
Lao People's Democratic Republic,Asia,South-Eastern Asia,Developing regions,36,40,49,22,38,42,74,53,32,39,54,22,25,15,541
Latvia,Europe,Northern Europe,Developed regions,130,175,156,110,94,77,69,88,67,85,70,103,202,213,1639
Lebanon,Asia,Western Asia,Developing regions,1903,2578,2332,3179,3293,3709,3802,3467,3566,3077,3432,3072,1614,2172,41196
Lesotho,Africa,Southern Africa,Developing regions,1,0,2,2,2,4,0,4,1,8,7,1,0,6,38
Liberia,Africa,Western Africa,Developing regions,56,60,57,139,409,581,356,153,74,94,162,106,58,39,2344
Libya,Africa,Northern Africa,Developing regions,208,228,210,153,196,196,281,198,306,282,384,352,299,255,3548
Liechtenstein,Europe,Western Europe,Developed regions,0,2,0,1,0,1,0,0,1,1,0,2,1,0,9
Lithuania,Europe,Northern Europe,Developed regions,116,183,125,194,220,167,113,108,109,63,57,52,77,145,1729
Luxembourg,Europe,Western Europe,Developed regions,5,5,17,9,9,10,9,9,3,5,8,11,6,7,113
Madagascar,Africa,Eastern Africa,Developing regions,32,57,59,48,79,88,96,115,118,169,178,148,165,229,1581
Malawi,Africa,Eastern Africa,Developing regions,12,5,7,3,17,23,15,13,5,10,28,16,9,10,173
Malaysia,Asia,South-Eastern Asia,Developing regions,360,460,480,419,401,593,580,600,658,640,802,409,358,204,6964
Maldives,Asia,Southern Asia,Developing regions,1,0,1,0,1,0,0,2,1,7,4,3,1,1,22
Mali,Africa,Western Africa,Developing regions,66,67,62,72,87,87,114,143,154,164,170,155,191,190,1722
Malta,Europe,Southern Europe,Developed regions,10,24,16,28,28,28,24,7,21,18,17,8,9,4,242
Marshall Islands,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Mauritania,Africa,Western Africa,Developing regions,15,30,27,23,60,86,124,96,112,83,74,54,77,57,918
Mauritius,Africa,Eastern Africa,Developing regions,199,393,348,566,702,696,512,507,714,872,1455,1146,799,1203,10112
Mexico,Latin America and the Caribbean,Central America,Developing regions,1662,1939,1894,1754,2259,2837,2844,3239,2856,3092,3865,3947,4227,3996,40411
Monaco,Europe,Western Europe,Developed regions,1,1,1,1,1,1,1,1,0,0,4,1,3,1,17
Mongolia,Asia,Eastern Asia,Developing regions,17,17,20,28,34,59,64,82,59,118,169,103,68,99,937
Montenegro,Europe,Southern Europe,Developed regions,0,0,0,1,0,0,0,7,19,10,14,19,26,9,105
Morocco,Africa,Northern Africa,Developing regions,2664,4067,4174,3369,3686,2939,3322,4021,4226,5532,6242,4399,3878,3261,55780
Mozambique,Africa,Eastern Africa,Developing regions,3,2,5,3,8,5,9,5,5,12,7,3,4,12,83
Myanmar,Asia,South-Eastern Asia,Developing regions,121,113,164,263,191,210,953,1887,975,1153,556,368,193,262,7409
Namibia,Africa,Southern Africa,Developing regions,9,9,10,7,9,6,19,13,26,14,16,23,24,83,268
Nauru,Oceania,Micronesia,Developing regions,1,3,2,4,1,1,1,0,0,1,0,0,0,1,15
Nepal,Asia,Southern Asia,Developing regions,236,272,363,313,404,607,540,511,581,561,1392,1129,1185,1308,9402
Netherlands,Europe,Western Europe,Developed regions,838,806,676,617,749,813,837,615,818,786,759,586,504,395,9799
New Caledonia,Oceania,Melanesia,Developing regions,0,1,0,1,0,0,0,0,1,0,0,0,0,2,5
New Zealand,Oceania,Australia and New Zealand,Developed regions,212,360,321,345,350,370,318,350,480,520,490,375,417,415,5323
Nicaragua,Latin America and the Caribbean,Central America,Developing regions,140,108,69,88,67,79,96,76,124,116,94,123,106,96,1382
Niger,Africa,Western Africa,Developing regions,20,23,30,30,38,59,57,75,75,82,80,90,95,105,859
Nigeria,Africa,Western Africa,Developing regions,1182,1426,1403,1064,1518,2236,2594,2375,2109,3156,3906,3103,3443,4172,33687
Norway,Europe,Northern Europe,Developed regions,56,78,74,77,73,57,53,73,66,75,46,49,53,59,889
Oman,Asia,Western Asia,Developing regions,7,12,7,11,12,14,18,16,10,7,14,10,13,11,162
Pakistan,Asia,Southern Asia,Developing regions,15400,16708,15110,13205,13399,14314,13127,10124,8994,7217,6811,7468,11227,12603,165707
Palau,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Panama,Latin America and the Caribbean,Central America,Developing regions,45,50,48,54,38,57,73,63,52,73,65,49,34,43,744
Papua New Guinea,Oceania,Melanesia,Developing regions,4,2,0,4,1,1,0,0,9,1,3,0,3,3,31
Paraguay,Latin America and the Caribbean,South America,Developing regions,29,34,60,88,74,75,88,98,95,88,89,83,55,66,1022
Peru,Latin America and the Caribbean,South America,Developing regions,603,849,855,1023,1460,1653,1473,1490,1094,1884,1283,886,787,682,16022
Philippines,Asia,South-Eastern Asia,Developing regions,10763,13836,11707,12758,14004,18139,18400,19837,24887,28573,38617,36765,34315,29544,312145
Poland,Europe,Eastern Europe,Developed regions,1471,1601,1447,1394,1533,1405,1263,1235,1267,1013,795,720,779,852,16775
Portugal,Europe,Southern Europe,Developed regions,469,531,364,329,336,338,424,405,665,623,629,528,560,630,6831
Qatar,Asia,Western Asia,Developing regions,4,21,4,4,5,11,2,5,9,6,18,3,14,6,112
Republic of Korea,Asia,Eastern Asia,Developing regions,7618,9619,7342,7117,5352,5832,6215,5920,7294,5874,5537,4588,5316,4509,88133
Republic of Moldova,Europe,Eastern Europe,Developed regions,288,513,612,592,628,655,803,1099,1127,1535,1988,1367,1416,1231,13854
Romania,Europe,Eastern Europe,Developed regions,4539,5652,5765,5541,5755,5048,4468,3834,2837,2076,1922,1776,1588,1512,52313
Russian Federation,Europe,Eastern Europe,Developed regions,3843,4351,3941,3718,3989,3972,3117,2983,2690,2931,2288,1963,2079,2466,44331
Rwanda,Africa,Eastern Africa,Developing regions,383,286,215,290,299,378,360,420,358,415,396,492,562,415,5269
Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,Developing regions,11,11,8,12,8,11,3,10,25,11,22,12,21,18,183
Saint Lucia,Latin America and the Caribbean,Caribbean,Developing regions,94,116,82,89,110,185,190,255,298,257,249,261,382,392,2960
Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,Developing regions,279,288,240,199,294,343,383,579,434,511,434,451,523,538,5496
Samoa,Oceania,Polynesia,Developing regions,1,2,2,3,3,2,0,1,4,2,5,3,2,0,30
San Marino,Europe,Southern Europe,Developed regions,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
